Seniority,Purchase_Propensity,CompanySize,Contactable,Action
3,7,688,9,1
9,7,1462,4,0.5
9,9,652,3,0
7,4,496,6,0.5
5,9,21,2,0
4,2,914,3,0
6,2,214,5,0
7,7,631,0,0
0,9,551,6,0
9,2,168,5,0.5
6,9,308,2,0
6,9,1390,4,0.5
8,1,1134,6,0.5
1,2,733,2,0
4,1,891,5,0.5
7,3,283,2,0
9,6,11,2,0
0,9,545,1,0
3,6,1449,6,0
6,0,1437,3,0
9,2,1492,6,0.5
1,5,1299,2,0
9,9,1292,7,1
3,7,815,9,1
1,3,973,7,0
0,2,792,4,0
9,8,666,5,0.5
5,7,907,6,0.5
1,7,1194,3,0
2,1,1207,4,0
8,3,143,4,0.5
9,6,458,9,1
6,1,855,1,0
9,4,77,4,0.5
2,2,19,6,0
2,9,1238,1,0
3,3,1171,4,0
1,4,109,4,0
2,5,792,1,0
6,7,227,0,0
8,9,527,1,0
8,7,108,0,0
2,7,577,7,1
1,8,1139,4,0.5
7,7,833,9,1
4,3,324,7,1
7,0,311,0,0
5,1,616,5,0.5
6,6,1170,5,0.5
5,8,319,2,0
7,1,403,1,0
9,5,373,9,1
9,8,685,4,0.5
1,1,1333,1,0
9,1,1037,5,0.5
2,8,186,2,0
1,3,1467,9,0
1,2,253,1,0
7,2,723,1,0
7,5,139,2,0
8,9,912,5,0.5
7,9,456,7,1
2,2,543,1,0
3,4,657,0,0
3,6,539,1,0
6,8,869,4,0.5
1,2,257,2,0
1,4,1150,5,0
8,7,415,1,0
6,0,1463,1,0
5,9,1420,9,1
5,3,1433,5,0.5
8,5,384,5,0.5
8,3,72,5,0.5
0,1,803,4,0
5,7,1181,2,0
3,1,626,8,0
5,7,1445,0,0
0,7,734,4,0.5
7,7,1463,7,1
1,3,400,6,0
6,8,346,3,0
4,3,544,6,0
4,4,1458,2,0
6,3,799,2,0
8,0,237,5,0.5
1,9,747,7,1
5,6,1180,8,1
0,1,690,1,0
9,1,1198,7,1
9,5,612,8,1
8,5,1159,0,0
1,7,239,1,0
9,5,958,2,0
5,0,628,7,1
8,3,1270,3,0
0,9,697,1,0
3,9,1485,2,0
8,4,476,4,0.5
9,8,277,5,0.5
0,1,634,1,0
9,2,828,1,0
1,0,782,9,0
5,4,818,0,0
9,3,1344,3,0
1,8,700,0,0
4,6,760,1,0
0,8,137,3,0
2,9,1182,1,0
6,4,427,0,0
5,5,747,4,0.5
8,2,940,5,0.5
9,0,562,6,0.5
0,3,434,5,0
5,6,1290,1,0
5,0,259,5,0
9,8,278,1,0
5,3,1035,1,0
4,4,763,0,0
5,6,30,4,0
1,0,1336,3,0
3,4,589,4,0
6,8,456,7,1
0,3,844,5,0
7,0,931,8,1
0,9,147,8,0
7,9,244,0,0
8,0,1104,5,0.5
6,6,534,7,1
4,1,1428,7,1
6,3,1132,5,0.5
6,8,46,5,0.5
1,5,784,5,0
7,5,530,7,1
6,5,919,3,0
4,5,1304,8,1
1,9,1115,0,0
9,8,1483,0,0
4,1,719,6,0.5
9,6,446,0,0
2,7,261,9,0
4,7,1402,6,0.5
3,2,970,8,0
4,1,774,0,0
3,2,1206,0,0
2,9,325,8,0
8,7,558,7,1
7,9,31,0,0
8,7,1431,0,0
7,5,3,6,0.5
8,7,936,2,0
2,3,976,6,0
3,8,972,0,0
4,1,746,4,0.5
4,7,847,0,0
9,5,1360,0,0
1,3,1248,9,0
4,7,402,1,0
9,7,163,9,1
6,6,1489,8,1
3,0,484,9,0
8,9,389,8,1
3,7,750,7,1
9,3,977,5,0.5
0,0,1455,7,0
3,7,1397,4,0.5
8,1,841,9,1
5,0,79,0,0
7,3,987,4,0.5
9,2,664,9,1
3,2,1098,9,0
3,0,730,4,0
6,3,1004,0,0
1,7,1295,6,0.5
2,5,124,8,0
5,1,925,9,1
7,3,1100,2,0
5,5,1400,7,1
4,4,1268,1,0
8,7,1323,5,0.5
1,1,924,4,0
3,8,879,7,1
8,7,353,9,1
6,7,527,1,0
9,8,749,5,0.5
9,7,58,4,0.5
6,0,240,7,1
8,1,1213,6,0.5
9,5,1207,7,1
1,3,186,7,0
4,1,832,0,0
0,7,794,4,0.5
3,7,1104,0,0
6,3,838,2,0
6,8,324,0,0
9,7,775,9,1
4,5,1236,8,1
2,9,1462,2,0
1,0,457,1,0
8,5,1146,2,0
9,8,1177,2,0
9,5,1034,5,0.5
6,4,1010,2,0
0,3,960,3,0
6,1,1273,4,0.5
2,1,173,9,0
1,1,543,1,0
6,0,586,1,0
4,8,1207,2,0
6,7,1353,7,1
0,4,1497,5,0
4,0,1333,1,0
3,6,727,2,0
1,5,665,5,0
6,5,942,6,0.5
0,6,380,0,0
9,0,1207,7,1
1,0,137,9,0
8,0,71,6,0.5
6,6,261,9,1
2,4,466,7,0
8,7,224,9,1
4,8,1451,6,0.5
8,6,1274,5,0.5
9,8,698,8,1
8,4,885,8,1
2,1,1460,2,0
3,9,998,5,0.5
7,9,841,1,0
0,0,188,8,0
3,1,621,4,0
4,2,455,6,0
4,5,1108,8,1
9,6,615,6,0.5
4,6,485,2,0
3,5,1113,5,0
8,9,1180,5,0.5
8,8,144,4,0.5
4,5,548,8,1
4,4,1063,4,0.5
7,8,707,3,0
4,9,449,2,0
6,5,747,2,0
9,9,1295,9,1
3,7,1075,6,0.5
8,6,1069,1,0
1,9,639,0,0
1,6,4,6,0
3,5,616,5,0
0,4,184,6,0
7,5,85,3,0
3,2,909,9,0
0,8,1300,1,0
3,3,744,8,0
1,2,235,0,0
4,7,402,7,1
8,1,1244,6,0.5
9,8,962,4,0.5
5,4,881,9,1
8,3,975,8,1
3,5,1339,3,0
8,1,898,2,0
8,5,1042,9,1
6,4,1426,0,0
6,0,111,5,0
9,7,1466,8,1
4,3,171,3,0
8,4,624,4,0.5
7,4,353,0,0
0,0,149,8,0
5,6,1145,5,0.5
9,2,25,1,0
5,3,894,8,1
7,5,6,0,0
5,7,1287,7,1
4,2,216,8,1
7,1,118,9,1
2,8,124,7,0
8,0,107,9,1
9,0,1320,8,1
2,1,36,8,0
5,0,155,8,1
3,2,1081,1,0
1,4,727,8,0
2,7,1461,6,0.5
9,9,4,0,0
5,5,1012,9,1
7,6,561,8,1
1,9,825,0,0
4,5,973,8,1
2,4,72,2,0
3,4,477,5,0
9,7,34,4,0.5
9,7,1216,0,0
7,0,986,0,0
2,0,769,3,0
5,1,1110,6,0.5
8,2,1254,5,0.5
