Seniority,Purchase_Propensity,CompanySize,Contactable,Action
0.333333333,0.777777778,0.458666667,1,1
1,0.777777778,0.974666667,0.444444444,0.5
1,1,0.434666667,0.333333333,0
0.777777778,0.444444444,0.330666667,0.666666667,0.5
0.555555556,1,0.014,0.222222222,0
0.444444444,0.222222222,0.609333333,0.333333333,0
0.666666667,0.222222222,0.142666667,0.555555556,0
0.777777778,0.777777778,0.420666667,0,0
0,1,0.367333333,0.666666667,0
1,0.222222222,0.112,0.555555556,0.5
0.666666667,1,0.205333333,0.222222222,0
0.666666667,1,0.926666667,0.444444444,0.5
0.888888889,0.111111111,0.756,0.666666667,0.5
0.111111111,0.222222222,0.488666667,0.222222222,0
0.444444444,0.111111111,0.594,0.555555556,0.5
0.777777778,0.333333333,0.188666667,0.222222222,0
1,0.666666667,0.007333333,0.222222222,0
0,1,0.363333333,0.111111111,0
0.333333333,0.666666667,0.966,0.666666667,0
0.666666667,0,0.958,0.333333333,0
1,0.222222222,0.994666667,0.666666667,0.5
0.111111111,0.555555556,0.866,0.222222222,0
1,1,0.861333333,0.777777778,1
0.333333333,0.777777778,0.543333333,1,1
0.111111111,0.333333333,0.648666667,0.777777778,0
0,0.222222222,0.528,0.444444444,0
1,0.888888889,0.444,0.555555556,0.5
0.555555556,0.777777778,0.604666667,0.666666667,0.5
0.111111111,0.777777778,0.796,0.333333333,0
0.222222222,0.111111111,0.804666667,0.444444444,0
0.888888889,0.333333333,0.095333333,0.444444444,0.5
1,0.666666667,0.305333333,1,1
0.666666667,0.111111111,0.57,0.111111111,0
1,0.444444444,0.051333333,0.444444444,0.5
0.222222222,0.222222222,0.012666667,0.666666667,0
0.222222222,1,0.825333333,0.111111111,0
0.333333333,0.333333333,0.780666667,0.444444444,0
0.111111111,0.444444444,0.072666667,0.444444444,0
0.222222222,0.555555556,0.528,0.111111111,0
0.666666667,0.777777778,0.151333333,0,0
0.888888889,1,0.351333333,0.111111111,0
0.888888889,0.777777778,0.072,0,0
0.222222222,0.777777778,0.384666667,0.777777778,1
0.111111111,0.888888889,0.759333333,0.444444444,0.5
0.777777778,0.777777778,0.555333333,1,1
0.444444444,0.333333333,0.216,0.777777778,1
0.777777778,0,0.207333333,0,0
0.555555556,0.111111111,0.410666667,0.555555556,0.5
0.666666667,0.666666667,0.78,0.555555556,0.5
0.555555556,0.888888889,0.212666667,0.222222222,0
0.777777778,0.111111111,0.268666667,0.111111111,0
1,0.555555556,0.248666667,1,1
1,0.888888889,0.456666667,0.444444444,0.5
0.111111111,0.111111111,0.888666667,0.111111111,0
1,0.111111111,0.691333333,0.555555556,0.5
0.222222222,0.888888889,0.124,0.222222222,0
0.111111111,0.333333333,0.978,1,0
0.111111111,0.222222222,0.168666667,0.111111111,0
0.777777778,0.222222222,0.482,0.111111111,0
0.777777778,0.555555556,0.092666667,0.222222222,0
0.888888889,1,0.608,0.555555556,0.5
0.777777778,1,0.304,0.777777778,1
0.222222222,0.222222222,0.362,0.111111111,0
0.333333333,0.444444444,0.438,0,0
0.333333333,0.666666667,0.359333333,0.111111111,0
0.666666667,0.888888889,0.579333333,0.444444444,0.5
0.111111111,0.222222222,0.171333333,0.222222222,0
0.111111111,0.444444444,0.766666667,0.555555556,0
0.888888889,0.777777778,0.276666667,0.111111111,0
0.666666667,0,0.975333333,0.111111111,0
0.555555556,1,0.946666667,1,1
0.555555556,0.333333333,0.955333333,0.555555556,0.5
0.888888889,0.555555556,0.256,0.555555556,0.5
0.888888889,0.333333333,0.048,0.555555556,0.5
0,0.111111111,0.535333333,0.444444444,0
0.555555556,0.777777778,0.787333333,0.222222222,0
0.333333333,0.111111111,0.417333333,0.888888889,0
0.555555556,0.777777778,0.963333333,0,0
0,0.777777778,0.489333333,0.444444444,0.5
0.777777778,0.777777778,0.975333333,0.777777778,1
0.111111111,0.333333333,0.266666667,0.666666667,0
0.666666667,0.888888889,0.230666667,0.333333333,0
0.444444444,0.333333333,0.362666667,0.666666667,0
0.444444444,0.444444444,0.972,0.222222222,0
0.666666667,0.333333333,0.532666667,0.222222222,0
0.888888889,0,0.158,0.555555556,0.5
0.111111111,1,0.498,0.777777778,1
0.555555556,0.666666667,0.786666667,0.888888889,1
0,0.111111111,0.46,0.111111111,0
1,0.111111111,0.798666667,0.777777778,1
1,0.555555556,0.408,0.888888889,1
0.888888889,0.555555556,0.772666667,0,0
0.111111111,0.777777778,0.159333333,0.111111111,0
1,0.555555556,0.638666667,0.222222222,0
0.555555556,0,0.418666667,0.777777778,1
0.888888889,0.333333333,0.846666667,0.333333333,0
0,1,0.464666667,0.111111111,0
0.333333333,1,0.99,0.222222222,0
0.888888889,0.444444444,0.317333333,0.444444444,0.5
1,0.888888889,0.184666667,0.555555556,0.5
0,0.111111111,0.422666667,0.111111111,0
1,0.222222222,0.552,0.111111111,0
0.111111111,0,0.521333333,1,0
0.555555556,0.444444444,0.545333333,0,0
1,0.333333333,0.896,0.333333333,0
0.111111111,0.888888889,0.466666667,0,0
0.444444444,0.666666667,0.506666667,0.111111111,0
0,0.888888889,0.091333333,0.333333333,0
0.222222222,1,0.788,0.111111111,0
0.666666667,0.444444444,0.284666667,0,0
0.555555556,0.555555556,0.498,0.444444444,0.5
0.888888889,0.222222222,0.626666667,0.555555556,0.5
1,0,0.374666667,0.666666667,0.5
0,0.333333333,0.289333333,0.555555556,0
0.555555556,0.666666667,0.86,0.111111111,0
0.555555556,0,0.172666667,0.555555556,0
1,0.888888889,0.185333333,0.111111111,0
0.555555556,0.333333333,0.69,0.111111111,0
0.444444444,0.444444444,0.508666667,0,0
0.555555556,0.666666667,0.02,0.444444444,0
0.111111111,0,0.890666667,0.333333333,0
0.333333333,0.444444444,0.392666667,0.444444444,0
0.666666667,0.888888889,0.304,0.777777778,1
0,0.333333333,0.562666667,0.555555556,0
0.777777778,0,0.620666667,0.888888889,1
0,1,0.098,0.888888889,0
0.777777778,1,0.162666667,0,0
0.888888889,0,0.736,0.555555556,0.5
0.666666667,0.666666667,0.356,0.777777778,1
0.444444444,0.111111111,0.952,0.777777778,1
0.666666667,0.333333333,0.754666667,0.555555556,0.5
0.666666667,0.888888889,0.030666667,0.555555556,0.5
0.111111111,0.555555556,0.522666667,0.555555556,0
0.777777778,0.555555556,0.353333333,0.777777778,1
0.666666667,0.555555556,0.612666667,0.333333333,0
0.444444444,0.555555556,0.869333333,0.888888889,1
0.111111111,1,0.743333333,0,0
1,0.888888889,0.988666667,0,0
0.444444444,0.111111111,0.479333333,0.666666667,0.5
1,0.666666667,0.297333333,0,0
0.222222222,0.777777778,0.174,1,0
0.444444444,0.777777778,0.934666667,0.666666667,0.5
0.333333333,0.222222222,0.646666667,0.888888889,0
0.444444444,0.111111111,0.516,0,0
0.333333333,0.222222222,0.804,0,0
0.222222222,1,0.216666667,0.888888889,0
0.888888889,0.777777778,0.372,0.777777778,1
0.777777778,1,0.020666667,0,0
0.888888889,0.777777778,0.954,0,0
0.777777778,0.555555556,0.002,0.666666667,0.5
0.888888889,0.777777778,0.624,0.222222222,0
0.222222222,0.333333333,0.650666667,0.666666667,0
0.333333333,0.888888889,0.648,0,0
0.444444444,0.111111111,0.497333333,0.444444444,0.5
0.444444444,0.777777778,0.564666667,0,0
1,0.555555556,0.906666667,0,0
0.111111111,0.333333333,0.832,1,0
0.444444444,0.777777778,0.268,0.111111111,0
1,0.777777778,0.108666667,1,1
0.666666667,0.666666667,0.992666667,0.888888889,1
0.333333333,0,0.322666667,1,0
0.888888889,1,0.259333333,0.888888889,1
0.333333333,0.777777778,0.5,0.777777778,1
1,0.333333333,0.651333333,0.555555556,0.5
0,0,0.97,0.777777778,0
0.333333333,0.777777778,0.931333333,0.444444444,0.5
0.888888889,0.111111111,0.560666667,1,1
0.555555556,0,0.052666667,0,0
0.777777778,0.333333333,0.658,0.444444444,0.5
1,0.222222222,0.442666667,1,1
0.333333333,0.222222222,0.732,1,0
0.333333333,0,0.486666667,0.444444444,0
0.666666667,0.333333333,0.669333333,0,0
0.111111111,0.777777778,0.863333333,0.666666667,0.5
0.222222222,0.555555556,0.082666667,0.888888889,0
0.555555556,0.111111111,0.616666667,1,1
0.777777778,0.333333333,0.733333333,0.222222222,0
0.555555556,0.555555556,0.933333333,0.777777778,1
0.444444444,0.444444444,0.845333333,0.111111111,0
0.888888889,0.777777778,0.882,0.555555556,0.5
0.111111111,0.111111111,0.616,0.444444444,0
0.333333333,0.888888889,0.586,0.777777778,1
0.888888889,0.777777778,0.235333333,1,1
0.666666667,0.777777778,0.351333333,0.111111111,0
1,0.888888889,0.499333333,0.555555556,0.5
1,0.777777778,0.038666667,0.444444444,0.5
0.666666667,0,0.16,0.777777778,1
0.888888889,0.111111111,0.808666667,0.666666667,0.5
1,0.555555556,0.804666667,0.777777778,1
0.111111111,0.333333333,0.124,0.777777778,0
0.444444444,0.111111111,0.554666667,0,0
0,0.777777778,0.529333333,0.444444444,0.5
0.333333333,0.777777778,0.736,0,0
0.666666667,0.333333333,0.558666667,0.222222222,0
0.666666667,0.888888889,0.216,0,0
1,0.777777778,0.516666667,1,1
0.444444444,0.555555556,0.824,0.888888889,1
0.222222222,1,0.974666667,0.222222222,0
